abdas
aben
absen
abstain
abul
acah
acan
acau
aci sagu
aco
acu
acuh
acuh tak acuh
acum
acung
ada
ada-ada saja
adalah
adang
adar
adeh
adib
adon
adu
adu domba
adu untung
aduk
aduk-adukan
afkir
agih
agut
ajak
aju
ajuk
ajun inspektur polisi dua
ajun inspektur polisi satu
ajun peneliti madya
ajun peneliti muda
akar tawan hutan
alah-mengalahi
ali
alih
alih bahasa
alih bentuk
alih fungsi
alih generasi
alih huruf
alih kebudayaan
alih kecek
alih kedudukan
alih kode
alih profesi
alih tanam
alih teknologi
alih wilayah
alik
aling
alip-alipan
alir
alup
amang
ambak
ambalela
ambang trofik
ambeg
ambek
ambil
ambil alih
ambil langkah seribu
ambil marah
ambil-mengambil
amblas
ambles
ambrol
ambruk
ambur
amprok
ampu
ampul
ampung
ampuni
amput
ancam
anduh
angga
anggap
anggit
anggul
anggung
anggur
anggut
angkat
angkat berat
angkat besi
angkat bicara
angkat kaki
angkat tangan
angkat topi
angkut
angsur
angsur lesap
angus
anjak
anjal
anjang
anjlok
antamir
antar
antar-mengantar
antem
antih
antre
antri
antuk
antul
anulir
anut
anyak
anyak-anyik
anyam
anyam-menganyam
anyik
apkir
aplus
aprit
apung
aras kerdan
aras tenaga
arih
arik
arsir
aruk
arun
arung
asah
asah terampil
asese
aso
asong
asuh
asung
atas-mengatasi
ateret
atung
atung-atung
atur
awai
awalengas
awas
awur
awur-awuran
ayak
ayap
ayeng
ayeng-ayengan
ayom
ayuk
ayum
ayun-temayun
ayut
baban
babang
babar
babaran
babas
babat
babat lari
babit
bablas
baca
bacah
bacem
bacok
bada
bada pisang
badasi
badik jagung
bagul
baham
bahan acuan
bahan bakar
bahan bakar fosil
bahan bakar jet
bahan baku
bahan balok
bahan bangunan
bahan berita
bahan bibliografi
bahan celana
bahan cerita
bahan cetak
bahan dasar
bahan diskusi
bahan film
bahan jadi
bahan kartografi
bahan kelabu
bahan makanan
bahan makanan ternak
bahan mentah
bahan murni
bahan organik
bahan pakai
bahan pakaian
bahan pandang dengar
bahan pegangan
bahan pelajaran
bahan peledak
bahan peledak kuat
bahan peledak lemah
bahan peledak terizinkan
bahan pelumas
bahan pembicaraan
bahan pemeriksaan
bahan pemikiran
bahan pengajaran
bahan pengawet
bahan pengering
bahan periklanan
bahan pertimbangan
bahan rujukan
bahan serap
bahan taklangsung
bahan tanam
bahan tanpa lemak
bahan tersuspensi
bahan vulkanisasi
bahas
bahu guna
bahu pada
bahu-membahu
baja kandang
bajar
bakak
bakalan
bakar
bakut
bala bencana
balah
balam beringin
balam merah
balapan
balas
balas dendam
balas jasa
balas pati
balas-berbalas
balas-membalas
balela
baliu
balui
balun
bancang
bancut
bangkis
bangkit
bangkit hatinya
bangkrut
bangun
banjir
banjir bandang
banjir bulanan
banjir darah
banjir maksimum
banjir tahunan
banjir tahunan minimum
banjur
bantar
banteras
banting
bantu
bantun
bantut
barbur
baring
basmi
basuh
basuh lantai
batekeng
baur
baur aliran
bawa
bayar
bayong
bebar
bebas tugas
bebenah
beber
bebercak
bebrek
bebuyutan
becermin
becermin bangkai
bedal
bedel
bederma
bedol
bedol desa
bedol santri
bega
begadang
behandel
beka
bekam
bekap
bekerdom-kerdom
bekerja
bekerja bakti
bekerja sama
bekerlapan
bekerlip
bekernyut
bekernyutan
bekersik
bekertak
bekertak-kertak
bekuk
bela
belaga
belagu
belahak
belajar
belajar jarak jauh
belajar tuntas
belam
belandang
belangah
belangiran
belar
belasah
belasut
belat-belit
belater
belelang
belendung
belengket
belengset
belesir
beleter
beli
beliak
belimbing manis
belimbing wuluh
belingkang
belingut
belintang
belok
belontang
belot
belu
belungsing
belunjur
bembam
bembet
benah
benam
bencol
bengkal
bengkalai
bengkar
bengkelai
bengkos
bengoh
bengong
bentak
bentang
bentang alam
bentar
bentok
bentrok
bentur
bentus
benum
benyoh
beol
bepercikan
bepergian
beperkara
berabad-abad
berabang
berabarkan
berabdas
berabjad
berabonemen
berabun-rabun
beracah-acah
beracara
beracun
berada
berada-ada
beradab
beradak
beradaptasi
beradat
beradegan
beradeh
beradik
beradik-berkakak
beradu
beradu buku tangan
beradu gelut
beradu jotos
beradu kening
beradu lengan
beradu lidah
beradu mulut
beradun
beraerobatik
berafiliasi
beraga
beragak-agak
beragam
beragam-ragam
beragama
beragi
beragih
beragitasi
beragogo
beragustusan
berahasia
berair
beraja
beraja-raja
berajojing
berakad
berakal
berakan
berakar
berakhir
berakhirkan
berakibat
berakibatkan
berakikah
berakit
berakit-rakit
berakrobat
beraksara
beraksi
beraku
beraku-akuan
berakuk
berakumulasi
beralah
beralam
beralam lapang
beralamat
beralang
beralangan
beralas
beralasan
beralaskan
beralat
beraliansi
beralih
beralih akal
beralih haluan
beralih laku
beralih muka
beralu-aluan
beralun
beralun-alun
beralur
beramah-ramah
beramah-ramahan
beramah-tamah
beramai-ramai
beramal
beramanat
berambai
berambal-ambalan
berambil-ambil
berambin
berambisi
berambu
berambut
berampai
berampus
beramuk
beramuk-amuk
beramuk-amukan
beranak
beranak berbiak
beranak bercucu
berancang
berancang-ancang
berandai-andai
berandai-randai
berandam
berandau
beraneh-aneh
berangai
berangan-angan
berangga
beranggar
beranggar lidah
beranggar pena
beranggar pikiran
beranggota
beranggotakan
berangguk
berangguk-angguk
beranggul
beranggut
berangin
berangin-angin
berangin-angin ke telinga
berangka
berangka-angka
berangka-angkaan
berangkai
berangkai-rangkai
berangkap
berangkap-rangkapan
berangkat
berangkulan
berangsur
beranjak
beranjang
beranjangsana
beranjung
berantai
berantai-rantai
berantam
berantar
berantara
berantas
beranting
berantisipasi
berantuk
berantukan
berantun
berapat
berapi
berapit
berapresiasi
berapun
berapung-apung
berapungan
berarah
berarak
berarak-arakan
berarakan
berargumen
berargumentasi
beraris
berarisan
berariskan
berarti
berartikulasi
berasa
berasah
berasak
berasak-asak
berasak-asakan
berasal
berasan
berasap
berasap-asap
berasas
berasaskan
beraset
berasian
berasimilasi
berasing
berasing-asingan
berasio
berasmara
berasonansi
berasosiasi
beraspal
beraspirasi
berasrama
berastakona
berasuransi
beratap
beratapkan
beratur
beraturan
beraudiensi
berawa
berawa-rawa
berawai
berawak
berawal
berawalan
berawan
berawas
berawas-awas
berayah
berayal-ayalan
berayun
berayun-ayun
berayun-ayun kaki
berazam
berbabil
berbadai
berbadan
berbadan dua
berbadi
berbagai
berbagai-bagai
berbagat
berbagi
berbagi pengalaman
berbahana
berbahas-bahasan
berbahasa
berbahasan
berbahaya
berbaik
berbaik-baikan
berbaikan
berbait
berbait-bait
berbaja
berbaju
berbakak
berbakat
berbakti
berbala-bala
berbalah
berbalam
berbalapan
berbalas
berbalas pantun
berbalas-balasan
berbalik
berbalik hati
berbalik muka
berbalik pulang
berbalik-balik
berbalikan
berbaling
berbalun-balun
berbalung
berbandar
berbanding
berbangkit
berbangsa
berbanir
berbanjar
berbanjar-banjar
berbanjaran
berbantah
berbantah-bantah
berbantal
berbantal lengan
berbanyak
berbanyak-banyak
berbapak
berbarengan
berbarik-barik
berbaring
berbaris
berbarut
berbasa-basi
berbasah-basah
berbasiskan
berbasut
berbatas
berbatasan
berbataskan
berbatin
berbatu
berbatuk
berbatuk darah
berbau
berbaur
berbawaan
berbawang
berbayang
berbayang-bayang
berbayar
berbebar
berbecak-becak
berbeda
berbeda-beda
berbedaan
berbedak
berbedil
berbedil-bedilan
berbega
berbega-bega
berbeka
berbeka-beka
berbekal
berbekas
berbelah
berbelah-belah
berbelahan
berbelakang-belakangan
berbelang-belang
berbelaskasihan
berbelasungkawa
berbelau-belauan
berbeli-beli
berbeli-belian
berbelimbing
berbelintang
berbelintangan
berbelit
berbelit-belit
berbelok
berbelok-belok
berbelon
berbelongsong
berbelulang
berbelut
berbenah
berbenak
berbenam
berbenang-benang
berbenar
berbenar-benar
berbencah
berbencah-bencah
berbenda
berbendi
berbenggil-benggil
berbengkung
berbenguk
berbenih
berbenjol
berbentar
berbenteh
berbenteng
berbentol-bentol
berbentrok
berbentrokan
berbentuk
berbenturan
berberani-berani
berberat
berberita
berbesan
berbesar-besar
berbeta
berbeting
berbetul
berbetulan
berbiak
berbiau
berbicara
berbidan
berbiduk
berbiduk-biduk
berbiji
berbiku-biku
berbilang
berbilas
berbilik-bilik
berbimbing
berbimbingan
berbinar-binar
berbincang
berbincang-bincang
berbingkah-bingkah
berbingkai
berbini
berbinikan
berbintang
berbintang-bintang
berbintik
berbintik-bintik
berbintil-bintil
berbiola
berbiras
berbisa
berbisik
berbisik-bisik
berbisu
berbisul
berblirik
berbobot
berboga
berbohong
berbolak-balik
berbolong-bolong
berboncengan
berbondong-bondong
berbongkah
berbongkah-bongkah
berborok
berboyong
berbuah
berbuai
berbuai-buai
berbual
berbual-bual
berbuat
berbucu
berbudak-budak
berbudaya
berbudi
berbugil
berbuih
berbuka
berbukan
berbukit
berbukit-bukit
berbukti
berbuku
berbulan
berbulang
berbulu
berbumbu
berbunga
berbunga-bunga
berbuntang
berbuntut
berbuntut-buntut
berbunuh-bunuhan
berbunyi
berburai
berburu
berburu-buru
berburuk
berburuk-buruk
berburuk-buruk muka
berbusa
berbusana
berbutir
berbutir-butir
bercabang
bercabang-cabang
bercabul
bercabut
bercacah
bercacah jiwa
bercacar
bercacat
bercaci-cacian
bercadang
bercadar
bercadik
bercadung
bercagak
bercahaya
