antar
anti
eks
ekstra
intra
super
semi
bi
bio
deka
de
elektro
intro
ko
multi
non
pari
poli
pramu
pra
infra
awa
aero
adi
nara
maha
swa
pasca
purna
re
eka
dwi
tri
catur
panca
sapta
dasa
sub
tele
trans
ultra
